customer_id,age,income,tenure_months,monthly_spend,products_owned,support_tickets,email_engagement,website_visits,last_purchase_days,previous_campaign_response,total_revenue,service_cost,churned,cross_sell_response,campaign_response
C00050,43,58955.71,32.0,113.24,3,0,34.9,13,57,0,3939.68,88.86,1,1,0
C00051,45,40671.35,10.2,79.75,2,2,51.6,11,92,0,804.03,173.59,1,0,1
C00052,50,36792.33,10.7,48.03,1,0,5.8,0,71,0,504.82,81.07,1,1,0
C00053,25,67032.47,3.4,75.97,1,1,9.5,10,88,1,270.34,130.42,0,0,1
C00054,38,68015.84,28.5,109.0,2,0,44.2,19,34,0,3048.06,90.14,1,1,0
C00055,36,99596.01,40.4,123.82,1,1,60.6,24,40,1,4867.12,113.91,1,0,1
C00056,34,92059.44,34.4,20.0,1,1,43.3,22,35,0,745.38,123.82,1,1,1
C00057,39,54866.72,45.2,53.57,1,0,25.2,9,51,0,2663.6,90.37,1,0,0
C00058,60,34393.81,29.4,72.41,1,1,29.7,8,111,0,2312.98,138.96,1,1,0
C00059,32,50724.97,48.1,72.29,1,2,35.6,18,50,0,3427.71,170.61,0,1,0
C00060,54,63540.67,35.5,91.92,1,1,2.0,7,95,0,2704.9,110.84,0,1,0
C00061,22,53280.37,35.9,119.66,3,1,62.1,12,5,1,4243.83,115.21,0,0,0
C00062,38,45500.69,31.5,82.25,2,2,20.8,2,72,1,2430.72,159.49,1,0,1
C00063,44,64499.32,42.2,120.29,4,3,67.6,20,103,1,5025.15,213.28,0,1,0
C00064,49,46935.8,20.7,66.53,1,3,16.5,6,139,0,1304.32,204.61,1,1,0
C00065,51,44551.92,25.7,104.54,1,3,34.9,11,91,0,2686.52,193.63,1,1,0
C00066,52,66105.58,34.0,79.25,2,1,35.7,16,58,0,2471.39,107.52,0,1,0
C00067,38,48989.51,17.9,72.54,1,1,2.0,0,80,1,1163.22,93.42,0,0,0
C00068,36,64261.9,39.3,104.07,2,0,40.3,19,56,0,4495.14,39.65,1,0,1
C00069,52,65052.11,61.9,178.97,4,1,81.6,11,1,1,10216.36,129.47,0,0,1
C00070,40,35941.15,10.6,60.22,1,2,27.7,10,51,0,637.11,196.3,0,1,0
C00071,27,47385.76,32.7,118.45,2,1,37.2,15,46,0,4170.39,151.63,0,0,1
C00072,28,106092.28,59.6,151.62,2,2,73.3,11,55,0,9701.23,157.43,1,0,0
C00073,31,35600.85,38.1,66.69,1,2,26.2,5,80,0,2700.42,166.43,0,0,0
C00074,48,23841.99,20.2,75.47,2,2,40.9,8,48,0,1565.06,144.53,0,0,1
C00075,44,26535.09,1.0,73.32,2,0,51.6,14,35,0,77.57,62.5,0,0,0
C00076,50,58713.47,28.6,71.36,1,2,27.8,17,41,0,2263.35,147.94,0,1,1
C00077,37,58758.06,10.3,120.47,2,1,23.2,18,48,0,1279.58,123.48,0,1,1
C00078,44,55204.61,52.9,83.47,1,2,2.0,0,75,1,3769.22,163.12,1,0,0
C00079,50,96583.0,31.5,101.58,1,0,16.9,9,44,0,3064.49,86.66,0,0,0
C00080,38,22000.0,32.0,49.06,2,2,43.1,15,67,1,1657.5,172.21,1,1,1
C00081,47,68493.25,34.9,73.69,2,2,26.5,11,116,0,2444.48,160.18,1,0,1
C00082,34,111748.08,33.9,161.6,1,1,48.3,16,22,1,6195.22,130.44,1,1,1
C00083,38,36117.41,30.9,81.72,2,0,36.6,13,24,1,2513.59,66.22,1,0,1
C00084,37,49448.13,23.8,52.81,1,4,41.8,21,71,0,1265.0,228.4,0,0,0
C00085,28,42276.37,20.8,111.45,1,1,21.5,13,74,1,2530.08,104.93,0,1,0
C00086,48,39837.86,15.2,96.21,2,3,44.4,7,88,0,1444.57,217.79,1,0,0
C00087,36,50572.75,40.7,91.18,1,3,33.1,14,95,0,3763.48,203.56,1,0,0
C00088,42,105634.69,63.4,95.06,1,1,51.6,19,31,0,6457.48,98.41,0,1,0
C00089,48,125479.88,58.9,116.63,2,2,8.1,6,81,0,6057.4,167.45,1,1,0
C00090,47,50367.62,34.6,88.15,2,1,26.6,15,75,0,2982.02,106.57,1,1,1
C00091,50,129097.55,61.6,106.41,3,2,63.9,18,89,1,6990.5,190.76,0,1,1
C00092,41,58873.15,20.5,76.14,1,2,49.7,15,45,1,1571.3,156.99,0,0,0
C00093,37,121145.61,32.0,149.96,3,0,59.1,17,81,0,5363.71,96.54,1,1,0
C00094,41,55771.2,24.2,129.06,1,3,24.0,0,117,1,2733.87,226.57,1,0,1
C00095,22,61282.07,43.9,118.05,3,2,63.9,17,58,1,4481.3,155.08,1,0,1
C00096,25,67622.6,28.8,20.0,1,0,29.7,6,69,0,611.21,77.66,1,0,1
C00097,26,220000.0,88.3,200.02,4,1,66.5,12,66,0,18894.64,140.75,1,0,0
C00098,30,82928.85,35.3,165.76,1,1,40.4,19,71,0,5768.88,131.88,0,1,0
C00099,47,43094.35,52.9,149.99,4,4,87.2,25,77,1,8192.73,260.06,1,1,1
C00100,31,87131.82,42.1,86.18,2,1,68.6,18,49,0,3841.39,105.28,1,0,0
C00101,37,49822.83,35.3,91.21,1,0,37.4,8,35,1,3011.13,90.05,1,1,0
C00102,58,47216.71,42.4,52.75,1,1,19.4,9,92,0,2111.55,114.41,1,1,0
C00103,38,84949.38,49.8,88.03,3,0,45.1,18,50,1,4447.84,86.93,0,1,0
C00104,51,58762.21,24.3,86.79,2,1,44.7,9,105,0,2260.35,136.82,0,1,0
C00105,31,65199.05,20.4,101.91,2,0,34.7,11,68,0,1889.12,92.52,0,1,0
C00106,40,58341.68,19.8,43.95,2,3,32.1,14,86,0,854.62,209.4,0,1,1
C00107,31,66807.0,40.1,67.87,2,2,13.0,0,91,0,2668.03,173.42,1,1,1
C00108,38,69333.53,40.5,101.43,2,0,60.0,16,1,1,4247.01,92.75,0,0,1
C00109,52,25710.95,31.4,52.75,1,0,2.0,0,59,0,1657.02,100.16,0,0,0
C00110,21,76738.5,51.5,97.42,1,1,17.1,6,80,0,4796.9,124.32,0,1,0
C00111,47,38397.6,43.0,53.68,2,2,31.8,7,120,0,2536.51,165.59,1,0,0
C00112,45,31648.08,11.2,104.76,2,1,73.0,20,14,1,1119.26,138.43,1,1,1
C00113,35,56594.41,27.7,80.46,3,0,37.4,21,33,0,2176.27,74.57,1,0,1
C00114,25,60082.28,38.1,143.12,2,3,30.5,8,112,0,4755.04,193.76,1,0,1
C00115,43,43344.09,47.5,41.8,2,0,18.4,9,82,0,1873.07,85.25,1,0,0
C00116,36,82226.4,58.9,94.16,3,1,76.8,30,65,0,5772.96,121.65,0,1,1
C00117,45,33007.32,55.0,79.04,1,2,2.0,0,112,0,4456.57,148.42,1,1,0
C00118,42,48887.74,12.5,120.85,1,3,10.1,14,115,1,1588.33,217.68,0,1,0
C00119,61,45367.49,21.1,81.55,1,0,71.8,19,29,0,1794.77,101.56,0,0,1
C00120,39,56876.16,34.2,93.49,1,0,35.0,20,47,0,3729.17,59.66,1,0,1
C00121,30,65206.95,27.5,99.84,2,1,16.6,10,73,0,2583.29,139.3,1,1,0
C00122,44,37982.59,23.0,58.78,2,0,30.0,11,48,0,1178.69,44.18,0,1,1
C00123,45,78621.23,43.3,109.46,3,1,50.3,14,30,1,4340.85,120.15,1,0,1
C00124,58,59555.22,56.7,62.96,2,0,46.5,10,69,0,3368.52,105.8,1,1,0
C00125,52,26201.73,18.8,46.59,2,2,62.1,17,62,0,809.09,158.13,1,1,0
C00126,46,25478.49,4.3,93.33,2,1,42.6,17,57,0,405.96,125.73,1,1,1
C00127,60,57700.68,20.5,46.64,1,2,8.1,5,110,0,1053.49,173.41,0,0,0
C00128,28,52859.46,34.4,102.93,2,3,51.1,13,84,0,3973.49,185.2,0,0,0
C00129,34,55534.62,34.2,40.69,1,0,4.4,3,40,0,1447.97,79.26,0,1,0
C00130,31,57322.34,38.4,104.22,2,2,18.5,12,96,0,4693.07,168.24,0,0,1
C00131,37,63763.32,22.7,85.04,2,1,2.7,10,44,0,1876.3,149.88,0,1,1
C00132,25,86354.06,43.9,129.93,1,1,2.0,0,17,0,4955.08,110.09,0,0,0
C00133,50,36371.26,10.2,77.88,1,1,6.0,1,87,0,864.21,117.89,0,0,0
C00134,39,35453.25,18.9,103.02,1,2,4.5,6,70,0,1663.78,154.24,0,0,0
C00135,24,36643.9,33.5,47.77,1,2,23.6,16,68,1,1501.86,148.34,1,1,0
C00136,30,65482.83,36.0,83.04,1,2,2.0,9,97,0,3116.62,181.43,1,1,1
C00137,46,97838.77,17.3,104.07,3,2,2.0,0,72,0,1784.9,167.7,1,0,0
C00138,52,48389.38,42.2,98.46,3,3,28.7,8,111,0,4090.32,201.1,0,0,1
C00139,66,22000.0,30.9,73.23,2,3,24.3,4,56,1,2047.3,199.61,1,0,1
C00140,77,28353.94,19.9,81.0,3,0,34.2,9,58,0,1610.65,73.6,0,1,1
C00141,47,40877.0,1.0,36.74,1,2,43.7,21,20,1,39.69,155.31,1,0,1
C00142,30,45887.69,38.4,87.37,4,1,46.2,6,65,0,3360.85,106.29,1,1,1
C00143,18,48858.08,1.0,20.0,1,4,29.9,1,77,1,18.67,240.98,1,1,0
C00144,45,58947.49,40.0,67.05,2,0,31.5,6,50,1,2411.58,75.34,0,1,0
C00145,32,50882.02,10.2,92.69,1,1,23.5,10,115,0,886.49,113.81,1,0,1
C00146,37,90122.12,31.9,65.43,2,1,16.6,10,93,0,2149.37,124.4,1,0,0
C00147,35,43663.64,21.8,51.68,2,2,28.7,11,76,0,1157.69,166.49,1,0,0
C00148,40,40377.37,32.3,138.7,2,1,28.1,15,104,0,4190.14,120.3,1,0,0
C00149,55,70921.29,28.8,102.01,3,1,51.1,5,43,1,2415.26,123.14,1,0,1
C00150,44,30431.35,23.5,75.22,1,1,17.5,13,57,0,1828.75,153.24,1,0,0
C00151,40,68313.92,27.5,118.69,2,2,22.1,6,96,0,3034.95,198.18,1,0,1
C00152,30,60552.78,51.6,97.88,1,2,42.8,16,74,0,5328.13,152.07,0,1,1
C00153,22,54517.25,37.4,52.08,2,1,37.5,5,52,1,1828.2,108.36,1,0,0
C00154,36,113014.82,41.3,113.67,2,2,30.3,10,83,0,4322.99,153.26,1,0,0
C00155,41,44661.68,17.1,27.11,1,0,17.7,8,75,0,468.84,91.97,0,1,0
C00156,63,137795.16,32.1,181.41,1,0,35.1,17,7,0,6915.15,83.93,1,0,0
C00157,44,52760.45,35.8,85.28,4,1,41.3,4,47,0,3237.88,127.18,1,0,1
C00158,54,33923.1,7.8,38.41,1,2,17.9,7,28,0,304.14,190.03,1,0,0
C00159,36,59728.5,14.1,49.83,1,0,7.0,0,61,0,724.68,78.84,0,0,1
C00160,28,36907.69,20.3,27.14,1,2,2.0,5,73,0,473.07,171.06,0,0,1
C00161,30,42296.55,34.3,127.26,2,0,11.1,9,73,0,3971.24,92.47,1,0,0
C00162,33,68524.89,43.7,168.62,2,0,39.7,18,62,0,5886.57,80.25,1,1,1
C00163,68,73243.35,19.5,89.52,2,2,45.2,10,79,0,1988.32,180.99,1,1,1
C00164,32,44662.43,25.6,53.45,2,0,17.5,11,74,0,1533.94,67.38,0,1,1
C00165,52,87808.05,61.7,46.54,2,1,74.4,26,26,1,2962.85,139.48,0,0,1
C00166,31,94310.85,53.2,105.17,2,1,53.2,6,59,0,5657.11,117.19,1,1,1
C00167,53,106026.57,42.7,90.24,1,1,47.4,16,75,0,3373.29,117.53,1,0,0
C00168,47,72442.75,30.7,66.26,1,1,34.8,15,97,0,1996.78,107.06,1,0,1
C00169,40,102830.61,55.6,103.91,1,0,59.1,15,65,0,6605.05,70.37,1,0,1
C00170,42,26324.7,1.0,75.51,1,2,7.7,0,57,0,76.3,159.07,0,1,1
C00171,34,50750.54,10.3,102.11,2,1,2.0,6,95,0,1000.64,91.13,0,1,0
C00172,47,40297.96,11.9,79.67,2,2,25.6,3,46,0,814.87,162.11,1,1,0
C00173,37,60978.29,49.5,84.67,3,1,55.7,14,89,0,4651.15,116.66,0,1,1
C00174,27,45624.02,26.5,109.48,2,2,40.6,12,48,0,2887.7,178.82,1,0,1
C00175,27,54090.4,30.1,94.87,2,1,40.7,16,50,0,2451.71,130.51,1,1,1
C00176,44,127862.63,56.1,133.47,1,1,53.7,12,54,1,6936.69,117.77,0,1,1
C00177,61,54009.54,58.6,134.6,3,0,59.5,13,63,0,7083.18,79.35,0,0,1
C00178,44,69008.92,32.6,61.19,2,2,45.4,13,44,0,1972.67,160.61,1,1,1
C00179,41,52609.14,24.9,53.72,2,1,13.1,11,46,0,1359.18,142.1,1,0,0
C00180,45,59874.01,48.9,75.88,2,1,13.4,17,59,0,3561.2,111.56,0,0,0
C00181,58,58146.75,6.3,48.71,1,0,47.1,6,29,0,327.16,68.82,1,0,1
C00182,45,70017.07,39.2,104.59,1,3,27.7,11,81,0,4130.14,193.57,1,1,0
C00183,37,94620.31,30.7,103.98,1,3,14.6,1,88,0,3461.07,188.57,1,0,1
C00184,55,115856.05,61.6,170.15,3,2,46.4,18,1,0,10177.4,176.91,0,0,0
C00185,47,66054.72,27.9,110.82,2,1,26.3,4,81,0,3841.7,128.71,0,0,0
C00186,60,74295.67,32.5,91.14,1,4,11.2,2,105,0,2830.22,268.25,1,1,0
C00187,44,35768.94,10.7,102.14,1,2,2.5,1,122,0,1017.27,181.75,1,1,1
C00188,27,55898.35,35.8,90.46,1,1,2.0,2,98,0,2970.37,157.8,1,0,1
C00189,26,86087.53,50.7,110.34,2,0,34.4,12,48,0,5494.33,82.79,1,0,1
C00190,62,83441.84,45.6,130.73,1,3,18.9,10,97,0,5139.85,207.81,0,0,1
C00191,63,63390.82,30.8,83.79,1,2,42.9,12,51,1,2642.83,147.5,1,0,0
C00192,40,84160.73,35.7,81.07,1,2,27.9,2,102,0,2454.77,175.24,1,1,1
C00193,37,71276.38,17.2,78.53,2,0,38.3,15,33,1,1367.26,82.94,0,1,1
C00194,60,96021.45,48.8,114.43,1,0,13.9,6,47,0,4979.1,93.27,0,0,0
C00195,29,65495.0,34.0,116.11,1,1,25.3,14,50,1,3831.32,110.34,0,0,0
C00196,31,49951.36,58.1,109.3,3,0,55.6,12,80,1,6661.25,88.67,0,1,1
C00197,50,66786.19,28.0,118.66,1,0,40.8,4,43,0,3936.03,87.37,1,0,1
C00198,37,22000.0,31.6,25.4,2,0,24.4,8,96,0,734.2,78.98,0,0,0
C00199,42,68118.92,31.0,99.06,2,1,55.8,22,42,0,3035.52,115.36,1,1,1
C00200,40,22000.0,29.2,61.44,1,1,20.0,8,111,0,1690.4,138.57,1,0,1
C00201,46,28123.02,8.5,44.87,1,0,31.8,9,23,1,352.82,107.29,1,1,0
C00202,59,70118.44,28.7,186.23,3,0,51.0,10,26,0,5038.04,74.35,0,1,0
C00203,43,70881.21,42.8,81.96,1,1,2.0,10,75,0,3743.11,133.64,1,0,0
C00204,50,35595.63,1.0,75.06,2,1,37.8,6,52,0,72.13,82.71,1,0,0
C00205,18,43006.88,24.4,90.43,2,1,48.2,10,40,1,2601.53,133.59,0,1,0
C00206,41,103138.24,61.8,59.76,2,2,41.2,15,68,0,3815.16,137.6,0,0,0
C00207,32,47330.28,35.1,70.3,2,0,39.9,3,65,0,2268.61,73.27,0,1,0
C00208,27,148780.12,59.1,181.22,3,1,52.8,21,79,1,10391.58,113.12,0,1,0
C00209,31,57953.25,20.7,96.59,3,0,32.8,13,36,0,1874.21,79.71,0,1,0
C00210,38,68842.29,15.4,59.72,1,1,29.5,14,22,0,980.19,133.52,1,0,0
C00211,53,114380.46,34.8,157.4,2,3,52.2,17,113,1,4756.68,187.59,0,1,1
C00212,26,61281.28,4.1,117.17,1,2,17.6,6,63,0,425.69,163.34,1,0,0
C00213,42,38071.22,28.1,102.03,2,3,56.8,10,53,1,2728.29,201.98,0,0,0
C00214,36,55387.7,18.4,64.34,1,0,4.4,3,86,0,1249.74,102.28,1,0,0
C00215,38,57138.98,17.6,89.14,2,2,24.5,4,66,0,1722.29,172.18,1,0,0
C00216,54,32695.96,16.4,62.7,2,0,60.7,19,68,0,1143.21,63.53,1,0,0
C00217,48,52091.07,21.5,47.79,1,1,33.6,14,53,0,1069.72,114.23,1,1,0
C00218,58,42466.79,36.2,60.22,2,1,24.5,16,107,0,2163.71,143.6,1,0,0
C00219,40,85513.42,52.4,126.87,4,0,67.9,20,56,0,7064.21,95.15,0,0,1
C00220,34,58849.3,23.1,67.61,2,0,34.8,15,21,0,1418.0,67.55,0,0,0
C00221,39,51504.48,32.5,67.61,3,0,2.0,0,35,0,1871.96,76.67,0,0,0
C00222,45,55470.24,17.0,83.26,1,2,6.6,2,100,0,1465.87,162.37,1,0,0
C00223,44,63698.07,32.6,87.26,1,3,22.6,10,79,0,2616.19,200.45,0,0,0
C00224,29,75151.42,57.2,133.3,1,1,23.5,6,17,0,7586.94,103.72,1,0,0
C00225,43,38113.32,24.0,68.86,2,3,36.6,12,78,1,1665.47,197.02,0,1,1
C00226,45,37448.86,26.0,77.57,1,1,42.4,7,32,1,2053.88,142.65,0,1,0
C00227,72,92241.33,16.9,101.86,1,1,19.7,3,72,0,1851.41,119.81,0,0,0
C00228,65,48777.13,27.2,67.1,1,3,2.0,7,100,0,1948.9,204.92,0,1,1
C00229,32,31988.27,31.2,105.75,2,2,43.2,17,71,0,3347.07,169.43,0,1,0
C00230,39,69884.53,33.6,105.09,1,1,20.1,2,53,0,3402.15,156.46,1,1,0
C00231,24,70460.93,53.8,92.8,1,1,21.4,11,62,1,5038.27,124.55,0,0,1
C00232,35,30494.39,13.5,95.1,3,2,41.8,10,17,0,1221.45,181.92,0,0,0
C00233,46,63868.44,34.7,70.76,1,2,61.5,17,48,1,2416.54,156.29,1,1,1
C00234,56,78995.26,28.8,67.05,2,2,2.0,8,103,0,2334.46,160.73,0,1,0
C00235,33,67876.19,30.8,59.95,1,3,12.7,10,96,0,1872.45,205.97,1,0,1
C00236,34,75631.68,43.3,86.47,2,1,34.5,15,99,0,3882.38,113.08,0,0,0
C00237,18,32157.64,14.6,53.51,2,0,15.9,16,72,0,736.23,76.43,0,0,1
C00238,40,66651.65,42.1,112.3,2,3,54.4,11,96,0,5117.88,222.42,0,1,0
C00239,29,51077.43,37.7,126.71,2,1,54.9,10,69,0,5061.18,115.93,1,0,1
C00240,36,47354.94,29.1,48.16,1,2,17.1,3,75,1,1486.89,162.85,1,1,0
C00241,31,83602.75,46.3,133.29,3,2,47.5,12,61,0,6271.95,179.59,0,0,1
C00242,41,107957.57,52.6,88.98,2,1,32.9,0,35,0,5063.01,112.58,0,0,0
C00243,21,123233.19,65.7,134.04,3,0,50.6,13,1,1,9702.46,101.06,0,0,1
C00244,24,100752.03,29.9,95.48,2,2,34.5,8,56,0,2923.25,167.66,1,1,0
C00245,68,55387.54,46.7,111.93,2,0,34.8,15,1,1,5179.9,81.64,1,0,1
C00246,27,67261.33,51.9,81.24,2,1,38.4,13,93,0,4516.02,95.38,0,0,0
C00247,29,80038.57,34.3,116.13,1,3,41.1,9,77,1,3699.29,205.06,0,0,0
C00248,64,61028.3,13.3,72.65,1,2,2.0,6,75,0,911.86,170.01,0,1,1
C00249,77,61274.51,24.2,79.45,2,1,14.7,10,110,0,1915.03,147.79,1,0,0
C00250,28,81975.41,58.8,71.55,2,1,2.0,0,64,0,3623.22,130.67,1,0,0
C00251,38,56573.7,31.6,102.69,2,1,52.5,12,114,0,3461.65,140.98,0,0,0
C00252,46,42697.59,24.9,96.63,1,0,29.3,0,46,0,2218.95,65.8,1,1,0
C00253,63,48733.39,34.3,81.84,1,1,31.8,5,32,1,2701.02,121.77,1,0,0
C00254,30,75692.98,39.0,184.6,3,2,33.9,7,70,1,7073.93,190.86,0,0,1
C00255,39,58072.96,51.9,118.28,1,2,59.9,17,66,0,6157.81,156.03,0,1,0
C00256,51,66908.85,48.7,91.48,2,1,24.3,4,90,0,4329.73,137.83,1,0,0
C00257,47,76851.6,65.7,95.51,2,2,38.9,9,54,1,6239.9,176.91,0,0,1
C00258,37,49551.35,48.5,123.7,3,1,66.4,11,53,1,5976.54,130.74,1,1,1
C00259,40,79683.87,41.3,64.18,1,0,2.5,4,73,0,2556.78,75.53,1,0,0
C00260,26,68003.35,32.9,115.22,1,0,17.5,9,53,0,3553.22,70.41,1,0,1
C00261,39,34529.76,9.7,78.14,1,0,25.4,11,68,1,820.01,106.11,0,0,0
C00262,39,106294.23,60.3,106.4,1,0,77.6,20,23,1,5333.59,92.36,0,1,1
C00263,45,46999.18,26.0,110.67,2,2,43.4,5,101,0,2825.48,172.62,0,0,1
C00264,35,28942.26,22.6,149.82,3,1,83.6,18,38,0,3263.14,123.21,0,0,0
C00265,48,37394.54,18.8,74.05,1,0,43.3,10,63,0,1436.31,81.45,0,1,1
C00266,54,37773.36,18.2,84.26,2,3,40.9,10,78,1,1351.37,210.05,1,1,0
C00267,44,59284.97,24.0,121.02,1,3,10.4,6,48,0,2792.53,216.28,1,0,0
C00268,46,51698.35,50.1,120.57,2,0,58.5,23,46,1,5988.87,94.93,0,1,1
C00269,43,50348.74,28.5,65.9,1,3,2.0,6,102,0,2038.3,195.32,1,1,1
C00270,42,75242.62,40.5,103.86,2,2,65.9,13,88,1,4317.87,146.78,1,1,0
C00271,33,66899.44,29.8,123.56,3,2,54.6,18,49,1,3328.55,170.06,0,1,0
C00272,46,66233.28,53.2,91.93,1,1,2.0,1,51,0,4696.85,99.89,0,0,0
C00273,41,68894.13,24.6,44.97,1,2,11.4,1,77,0,1182.31,158.07,0,1,1
C00274,67,75129.97,31.8,60.48,2,1,42.7,17,75,1,1740.83,114.71,0,1,1
C00275,61,23929.28,47.0,38.56,1,1,12.4,5,74,1,1801.49,126.97,1,1,0
C00276,47,49768.34,38.1,47.63,1,1,30.8,3,52,0,1811.5,148.57,0,1,0
C00277,33,23213.98,9.9,63.07,2,1,16.0,9,12,0,603.68,94.82,0,0,0
C00278,29,58885.11,30.1,96.37,1,2,2.0,4,53,0,3522.44,198.55,1,0,0
C00279,56,57887.25,34.9,73.44,1,3,20.2,6,145,0,2480.83,203.61,1,0,0
C00280,45,89978.12,47.8,115.62,2,1,39.3,11,45,1,5730.71,131.12,1,1,0
C00281,48,95511.77,62.1,114.25,4,2,54.7,11,75,0,6657.84,148.33,1,0,0
C00282,21,63156.04,39.9,85.53,2,1,56.6,18,61,0,3554.0,137.8,0,0,0
C00283,53,47006.76,13.6,89.88,1,1,8.5,5,60,0,1307.67,124.77,1,0,0
C00284,47,71108.77,31.1,136.58,3,1,58.5,17,88,0,4046.6,127.07,0,0,0
C00285,29,46465.85,31.1,52.91,1,1,19.9,9,81,1,1637.77,94.11,0,1,1
C00286,36,57966.08,50.9,118.73,3,4,22.4,2,128,0,5614.33,253.53,1,0,0
C00287,45,87761.27,41.4,152.72,1,1,8.9,0,47,0,5740.23,141.06,1,0,0
C00288,43,45886.87,1.0,90.46,2,1,35.4,0,111,0,97.96,120.93,0,1,0
